director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination,actor_4_name
Tamra Davis,Britney Spears,Katherine Boecher,Dave Allen,Comedy Drama,crossroads,Britney Spears Katherine Boecher Dave Allen Tamra Davis Comedy Drama,unknown
Jack Heller,Shaun Sipos,Katherine Waterston,Christopher Denham,Mystery Thriller,enter nowhere,Shaun Sipos Katherine Waterston Christopher Denham Jack Heller Mystery Thriller,unknown
Fernando Baez Mella,Manny Perez,Christian Alvarez,Claudette Lalí,Crime Drama,the king of najayo,Manny Perez Christian Alvarez Claudette Lalí Fernando Baez Mella Crime Drama,unknown
Warren Sheppard,Jennifer Hale,Randy Jay Burrell,Vincent De Paul,Action Romance Sport,fight to the finish,Jennifer Hale Randy Jay Burrell Vincent De Paul Warren Sheppard Action Romance Sport,unknown
Darren Lynn Bousman,Paul Sorvino,Barry Bostwick,Terrance Zdunich,Horror Musical,alleluia! the devil's carnival,Paul Sorvino Barry Bostwick Terrance Zdunich Darren Lynn Bousman Horror Musical,unknown
Justin Paul Miller,Mary Kate Wiles,Jennifer Landa,Felix Avitia,Comedy Mystery Thriller,the sound and the shadow,Mary Kate Wiles Jennifer Landa Felix Avitia Justin Paul Miller Comedy Mystery Thriller,unknown
Joel Paul Reisig,Carrie Bradstreet,Joel Paul Reisig,Yassie Hawkes,Family,rodeo girl,Carrie Bradstreet Joel Paul Reisig Yassie Hawkes Joel Paul Reisig Family,unknown
Catherine Gund,Elizabeth Streb,Sarah Callan,Laura Flanders,Action Biography Documentary Sport,born to fly: elizabeth streb vs. gravity,Elizabeth Streb Sarah Callan Laura Flanders Catherine Gund Action Biography Documentary Sport,unknown
Luke Dye,Mike Stanley,Jeff Delaney,Jamison Stalsworth,Family,the little ponderosa zoo,Mike Stanley Jeff Delaney Jamison Stalsworth Luke Dye Family,unknown
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,oz the great and powerful,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure Family Fantasy,unknown
Michael Herz,Patrick Kilpatrick,Mark Torgl,Pat Ryan,Action Comedy Horror Sci-Fi,the toxic avenger,Patrick Kilpatrick Mark Torgl Pat Ryan Michael Herz Action Comedy Horror Sci-Fi,unknown
Matty Rich,Lawrence Gilliard Jr.,George T. Odom,Matty Rich,Crime Drama,straight out of brooklyn,Lawrence Gilliard Jr. George T. Odom Matty Rich Matty Rich Crime Drama,unknown
Paul Greengrass,James Nesbitt,Nicholas Farrell,Tim Pigott-Smith,Drama History War,bloody sunday,James Nesbitt Nicholas Farrell Tim Pigott-Smith Paul Greengrass Drama History War,unknown
Alec Asten,Luis Sanchez,Dennis L.A. White,Fredro Starr,Action,diamond ruff,Luis Sanchez Dennis L.A. White Fredro Starr Alec Asten Action,unknown
Hans Canosa,Olivia Wilde,Thomas Lennon,Nora Zehetner,Comedy Drama Romance,conversations with other women,Olivia Wilde Thomas Lennon Nora Zehetner Hans Canosa Comedy Drama Romance,unknown
Lloyd Kaufman,John Karyus,Lloyd Kaufman,Kate Graham,Comedy Horror Musical,poultrygeist: night of the chicken dead,John Karyus Lloyd Kaufman Kate Graham Lloyd Kaufman Comedy Horror Musical,unknown
Matthew Watts,Jennifer Lafleur,Cheyenne Jackson,Michael Stahl-David,Comedy Romance,mutual friends,Jennifer Lafleur Cheyenne Jackson Michael Stahl-David Matthew Watts Comedy Romance,unknown
Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,Comedy Musical Romance,42nd street,Ginger Rogers Dick Powell George Brent Lloyd Bacon Comedy Musical Romance,unknown
Joe Kenemore,Bob Proctor,Jack Canfield,Eric Worre,Documentary,rise of the entrepreneur: the search for a better way,Bob Proctor Jack Canfield Eric Worre Joe Kenemore Documentary,unknown
Whit Stillman,Chris Eigeman,Taylor Nichols,Ellia Thompson,Comedy Drama Romance,metropolitan,Chris Eigeman Taylor Nichols Ellia Thompson Whit Stillman Comedy Drama Romance,unknown
Kay Pollak,Michael Nyqvist,Frida Hallgren,Nils-Anders Vallgårda,Comedy Drama Music Romance,as it is in heaven,Michael Nyqvist Frida Hallgren Nils-Anders Vallgårda Kay Pollak Comedy Drama Music Romance,unknown
Eric England,Jack E. Curenton,Ace Marrero,Alan Pietruszewski,Drama Horror Mystery Thriller,roadside,Jack E. Curenton Ace Marrero Alan Pietruszewski Eric England Drama Horror Mystery Thriller,unknown
Jared Hess,Jon Heder,Diedrich Bader,Jon Gries,Comedy,napoleon dynamite,Jon Heder Diedrich Bader Jon Gries Jared Hess Comedy,unknown
Jeremy Saulnier,Devin Ratray,Eve Plumb,Amy Hargreaves,Crime Drama Thriller,blue ruin,Devin Ratray Eve Plumb Amy Hargreaves Jeremy Saulnier Crime Drama Thriller,unknown
Oren Peli,Micah Sloat,Ashley Palmer,Amber Armstrong,Horror,paranormal activity,Micah Sloat Ashley Palmer Amber Armstrong Oren Peli Horror,unknown
Stacy Peralta,Tony Alva,Jay Adams,Jeff Ament,Documentary Sport,dogtown and z-boys,Tony Alva Jay Adams Jeff Ament Stacy Peralta Documentary Sport,unknown
Terry Gilliam,Eric Idle,Michael Palin,Terry Jones,Adventure Comedy Fantasy,monty python and the holy grail,Eric Idle Michael Palin Terry Jones Terry Gilliam Adventure Comedy Fantasy,unknown
Richard Glatzer,Emily Rios,Jesse Garcia,Alicia Sixtos,Drama,quinceañera,Emily Rios Jesse Garcia Alicia Sixtos Richard Glatzer Drama,unknown
Sue Corcoran,Tony Doupe,Sue Corcoran,David Frederick White,Comedy Fantasy Horror Musical,gory gory hallelujah,Tony Doupe Sue Corcoran David Frederick White Sue Corcoran Comedy Fantasy Horror Musical,unknown
unknown,Sendhil Ramamurthy,Masi Oka,Greg Grunberg,Drama Fantasy Sci-Fi Thriller,heroes            ,Sendhil Ramamurthy Masi Oka Greg Grunberg unknown Drama Fantasy Sci-Fi Thriller,unknown
Jonathan Caouette,Greg Ayres,Jonathan Caouette,Renee Leblanc,Biography Documentary,tarnation,Greg Ayres Jonathan Caouette Renee Leblanc Jonathan Caouette Biography Documentary,unknown
Ray Griggs,Bill Farmer,Chris Cox,Mike Huckabee,Documentary,i want your money,Bill Farmer Chris Cox Mike Huckabee Ray Griggs Documentary,unknown
Matt Jackson,Kane Hodder,Paul Elia,Alex Sanborn,Comedy Horror,love in the time of monsters,Kane Hodder Paul Elia Alex Sanborn Matt Jackson Comedy Horror,unknown
Lucio Fulci,Catriona MacColl,David Warbeck,Al Cliver,Horror,the beyond,Catriona MacColl David Warbeck Al Cliver Lucio Fulci Horror,unknown
unknown,Brendon Small,Ron Lynch,Melissa Bardin Galsky,Animation Comedy Drama,home movies            ,Brendon Small Ron Lynch Melissa Bardin Galsky unknown Animation Comedy Drama,unknown
Tom Vaughan,Treat Williams,Andrew Daly,Michelle Krusiec,Comedy Romance,what happens in vegas,Treat Williams Andrew Daly Michelle Krusiec Tom Vaughan Comedy Romance,unknown
Paul Fox,Dov Tiefenbach,Jeff Seymour,Gordon Currie,Horror Thriller,the dark hours,Dov Tiefenbach Jeff Seymour Gordon Currie Paul Fox Horror Thriller,unknown
Stephen Frears,Saeed Jaffrey,Roshan Seth,Garry Cooper,Comedy Drama Romance,my beautiful laundrette,Saeed Jaffrey Roshan Seth Garry Cooper Stephen Frears Comedy Drama Romance,unknown
Ari Kirschenbaum,R. Brandon Johnson,Adam LeFevre,Desmond Askew,Drama Horror Mystery Thriller,fabled,R. Brandon Johnson Adam LeFevre Desmond Askew Ari Kirschenbaum Drama Horror Mystery Thriller,unknown
Cassandra Nicolaou,Katharine Isabelle,Michelle Nolden,Gabriel Hogan,Drama Thriller,show me,Katharine Isabelle Michelle Nolden Gabriel Hogan Cassandra Nicolaou Drama Thriller,unknown
Ingmar Bergman,Liv Ullmann,Ingrid Thulin,Erland Josephson,Drama,cries & whispers,Liv Ullmann Ingrid Thulin Erland Josephson Ingmar Bergman Drama,unknown
D.W. Griffith,Lillian Gish,Mae Marsh,Walter Long,Drama History War,intolerance: love's struggle throughout the ages,Lillian Gish Mae Marsh Walter Long D.W. Griffith Drama History War,unknown
Roger Nygard,Walter Koenig,DeForest Kelley,James Doohan,Documentary,trekkies,Walter Koenig DeForest Kelley James Doohan Roger Nygard Documentary,unknown
Harry Beaumont,Anita Page,Bessie Love,Charles King,Musical Romance,the broadway melody,Anita Page Bessie Love Charles King Harry Beaumont Musical Romance,unknown
Sam Raimi,Ted Raimi,Betsy Baker,Ellen Sandweiss,Fantasy Horror,the evil dead,Ted Raimi Betsy Baker Ellen Sandweiss Sam Raimi Fantasy Horror,unknown
Franck Khalfoun,America Olivo,Nora Arnezeder,Liane Balaban,Horror Thriller,maniac,America Olivo Nora Arnezeder Liane Balaban Franck Khalfoun Horror Thriller,unknown
Mor Loushy,Amos Oz,unknown,unknown,Documentary History,censored voices,Amos Oz unknown unknown Mor Loushy Documentary History,unknown
Henry Alex Rubin,Mark Zupan,Joe Bishop,Andy Cohn,Documentary Sport,murderball,Mark Zupan Joe Bishop Andy Cohn Henry Alex Rubin Documentary Sport,unknown
Sam Firstenberg,Michael Dudikoff,Steve James,Larry Poindexter,Action Drama,american ninja 2: the confrontation,Michael Dudikoff Steve James Larry Poindexter Sam Firstenberg Action Drama,unknown
Doug Block,Carol Block,Ellen Block,Mike Block,Documentary,51 birch street,Carol Block Ellen Block Mike Block Doug Block Documentary,unknown
unknown,Billy Burke,Tracy Spiridakos,David Lyons,Action Adventure Drama Sci-Fi,revolution            ,Billy Burke Tracy Spiridakos David Lyons unknown Action Adventure Drama Sci-Fi,unknown
Chad Kapper,Tom E. Nicholson,Natalie Welch,Christian Kapper,Family Sci-Fi,rotor dr1,Tom E. Nicholson Natalie Welch Christian Kapper Chad Kapper Family Sci-Fi,unknown
John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,Horror Thriller,halloween,Jamie Lee Curtis Donald Pleasence P.J. Soles John Carpenter Horror Thriller,unknown
Sidney Lumet,Jack Warden,Lee J. Cobb,John Fiedler,Crime Drama,12 angry men,Jack Warden Lee J. Cobb John Fiedler Sidney Lumet Crime Drama,unknown
Paul Fierlinger,Isabella Rossellini,Peter Gerety,Lynn Redgrave,Animation Drama,my dog tulip,Isabella Rossellini Peter Gerety Lynn Redgrave Paul Fierlinger Animation Drama,unknown
Frank Capra,Claudette Colbert,Alan Hale,Walter Connolly,Comedy Romance,it happened one night,Claudette Colbert Alan Hale Walter Connolly Frank Capra Comedy Romance,unknown
Yorgos Lanthimos,Angeliki Papoulia,Mary Tsoni,Sissy Petropoulou,Drama Thriller,dogtooth,Angeliki Papoulia Mary Tsoni Sissy Petropoulou Yorgos Lanthimos Drama Thriller,unknown
Lauren Lazin,James Cagney,Gary Coleman,Todd Bridges,Biography Documentary Music,tupac: resurrection,James Cagney Gary Coleman Todd Bridges Lauren Lazin Biography Documentary Music,unknown
Gavin O'Connor,Kimberly J. Brown,Janet McTeer,Lois Smith,Comedy Drama,tumbleweeds,Kimberly J. Brown Janet McTeer Lois Smith Gavin O'Connor Comedy Drama,unknown
Gregory Widen,Viggo Mortensen,Adam Goldberg,Virginia Madsen,Action Fantasy Horror Mystery Thriller,the prophecy,Viggo Mortensen Adam Goldberg Virginia Madsen Gregory Widen Action Fantasy Horror Mystery Thriller,unknown
Cédric Klapisch,Simon Abkarian,Zinedine Soualem,Jane Bradbury,Comedy Romance,when the cat's away,Simon Abkarian Zinedine Soualem Jane Bradbury Cédric Klapisch Comedy Romance,unknown
Peter Hedges,Oliver Platt,Adrian Martinez,Derek Luke,Comedy Drama,pieces of april,Oliver Platt Adrian Martinez Derek Luke Peter Hedges Comedy Drama,unknown
Niall Johnson,Kevin Howarth,Mark Caven,Thierry Harcourt,Drama,the big swap,Kevin Howarth Mark Caven Thierry Harcourt Niall Johnson Drama,unknown
Kelly Reichardt,Daniel London,Lucy,Will Oldham,Drama,old joy,Daniel London Lucy Will Oldham Kelly Reichardt Drama,unknown
Kelly Reichardt,John Robinson,Lucy,Will Oldham,Drama,wendy and lucy,John Robinson Lucy Will Oldham Kelly Reichardt Drama,unknown
Eric Mendelsohn,Embeth Davidtz,Edie Falco,Kathryn Erbe,Drama,3 backyards,Embeth Davidtz Edie Falco Kathryn Erbe Eric Mendelsohn Drama,unknown
Jean-Luc Godard,Jean-Paul Belmondo,Anna Karina,Graziella Galvani,Crime Drama Romance,pierrot le fou,Jean-Paul Belmondo Anna Karina Graziella Galvani Jean-Luc Godard Crime Drama Romance,unknown
Florence Ayisi,Vera Ngassa,Beatrice Ntuba,unknown,Documentary,sisters in law,Vera Ngassa Beatrice Ntuba unknown Florence Ayisi Documentary,unknown
Pan Nalin,unknown,unknown,unknown,Documentary,ayurveda: art of being,unknown unknown unknown Pan Nalin Documentary,unknown
Michael Roemer,Yaphet Kotto,Gloria Foster,Ivan Dixon,Drama Romance,nothing but a man,Yaphet Kotto Gloria Foster Ivan Dixon Michael Roemer Drama Romance,unknown
Jesse Peretz,Robert John Burke,Eli Marienthal,Natasha Gregson Wagner,Drama Romance,"first love, last rites",Robert John Burke Eli Marienthal Natasha Gregson Wagner Jesse Peretz Drama Romance,unknown
Eddie O'Flaherty,Don Wallace,Eddie Jones,Christina Chambers,Drama Sport,fighting tommy riley,Don Wallace Eddie Jones Christina Chambers Eddie O'Flaherty Drama Sport,unknown
Babar Ahmed,Lalaine,Alexander Wraith,Darren Kendrick,Action Thriller,royal kill,Lalaine Alexander Wraith Darren Kendrick Babar Ahmed Action Thriller,unknown
Julie Taymor,Jim Sturgess,T.V. Carpio,Robert Clohessy,Drama Fantasy Musical Romance,across the universe,Jim Sturgess T.V. Carpio Robert Clohessy Julie Taymor Drama Fantasy Musical Romance,unknown
John D. Hancock,Trish Basinger,Elizabeth Stenholt,Mary Norwood,Drama Music,the looking glass,Trish Basinger Elizabeth Stenholt Mary Norwood John D. Hancock Drama Music,unknown
Paul Bartel,Sylvester Stallone,David Carradine,Martin Kove,Action Comedy Sci-Fi Sport,death race 2000,Sylvester Stallone David Carradine Martin Kove Paul Bartel Action Comedy Sci-Fi Sport,unknown
Bruce Dellis,Tatyana Ali,Ricky Schroder,Jon Polito,Thriller,locker 13,Tatyana Ali Ricky Schroder Jon Polito Bruce Dellis Thriller,unknown
Pece Dingo,Michael Des Barres,Wilhelm von Homburg,Thom Mathews,Horror,midnight cabaret,Michael Des Barres Wilhelm von Homburg Thom Mathews Pece Dingo Horror,unknown
Jerome Elston Scott,Taran Killam,Joanna Cassidy,Ryan Carnes,Comedy Drama Romance,anderson's cross,Taran Killam Joanna Cassidy Ryan Carnes Jerome Elston Scott Comedy Drama Romance,unknown
Étienne Faure,Rumi Missabu,Pierre Prieur,Raquel Nave,Drama Musical Romance,bizarre,Rumi Missabu Pierre Prieur Raquel Nave Étienne Faure Drama Musical Romance,unknown
Herb Freed,Linnea Quigley,Carmen Argenziano,Vanna White,Horror Mystery,graduation day,Linnea Quigley Carmen Argenziano Vanna White Herb Freed Horror Mystery,unknown
Jack Perez,Kevin Corrigan,Barry Bostwick,Ahmed Best,Comedy Crime Drama Horror Mystery Thriller,some guy who kills people,Kevin Corrigan Barry Bostwick Ahmed Best Jack Perez Comedy Crime Drama Horror Mystery Thriller,unknown
Craig Zobel,Dreama Walker,Matt Servitto,James McCaffrey,Biography Crime Drama Thriller,compliance,Dreama Walker Matt Servitto James McCaffrey Craig Zobel Biography Crime Drama Thriller,unknown
Kevin Smith,Matt Damon,Ethan Suplee,Joey Lauren Adams,Comedy Drama Romance,chasing amy,Matt Damon Ethan Suplee Joey Lauren Adams Kevin Smith Comedy Drama Romance,unknown
Nicole Holofcener,Aunjanue Ellis,Brenda Blethyn,Raven Goodwin,Comedy Drama Romance,lovely & amazing,Aunjanue Ellis Brenda Blethyn Raven Goodwin Nicole Holofcener Comedy Drama Romance,unknown
Ken Del Conte,Hector Echavarria,Robert Miano,Ron Roggé,Action Adventure Mystery Romance Thriller,death calls,Hector Echavarria Robert Miano Ron Roggé Ken Del Conte Action Adventure Mystery Romance Thriller,unknown
Justin Lin,Parry Shen,Jason Tobin,Collin Kahey,Crime Drama Romance,better luck tomorrow,Parry Shen Jason Tobin Collin Kahey Justin Lin Crime Drama Romance,unknown
Maria Maggenti,Nicole Ari Parker,Laurel Holloman,Stephanie Berry,Comedy Drama Romance,the incredibly true adventure of two girls in love,Nicole Ari Parker Laurel Holloman Stephanie Berry Maria Maggenti Comedy Drama Romance,unknown
Miguel Arteta,Lupe Ontiveros,Mike White,Chris Weitz,Comedy Drama,chuck & buck,Lupe Ontiveros Mike White Chris Weitz Miguel Arteta Comedy Drama,unknown
Piyush Dinker Pandya,Purva Bedi,Rizwan Manji,Anil Kumar,Comedy Drama Romance,american desi,Purva Bedi Rizwan Manji Anil Kumar Piyush Dinker Pandya Comedy Drama Romance,unknown
Daniel Columbie,Keri Maletto,Nicholas Simmons,Barbie Castro,Action Crime Drama,amidst the devil's wings,Keri Maletto Nicholas Simmons Barbie Castro Daniel Columbie Action Crime Drama,unknown
Vincenzo Natali,David Hewlett,Julian Richings,Nicole de Boer,Mystery Sci-Fi Thriller,cube,David Hewlett Julian Richings Nicole de Boer Vincenzo Natali Mystery Sci-Fi Thriller,unknown
Emma-Kate Croghan,Radha Mitchell,Frances O'Connor,Matt Day,Comedy Romance,love and other catastrophes,Radha Mitchell Frances O'Connor Matt Day Emma-Kate Croghan Comedy Romance,unknown
Bill Plympton,Charis Michelsen,Bill Martone,Richard Spore,Animation Comedy Drama Fantasy Sci-Fi,i married a strange person!,Charis Michelsen Bill Martone Richard Spore Bill Plympton Animation Comedy Drama Fantasy Sci-Fi,unknown
Greg Harrison,Amir Talai,Anne Archer,Nora Dunn,Drama Mystery Thriller,november,Amir Talai Anne Archer Nora Dunn Greg Harrison Drama Mystery Thriller,unknown
Drake Doremus,Jennifer Lawrence,Charlie Bewley,Finola Hughes,Drama Romance,like crazy,Jennifer Lawrence Charlie Bewley Finola Hughes Drake Doremus Drama Romance,unknown
Al Franklin,Marshal Hilton,Steffinnie Phrommany,Clint Jung,Horror,teeth and blood,Marshal Hilton Steffinnie Phrommany Clint Jung Al Franklin Horror,unknown
Allison Anders,Ally Sheedy,Rosanna Arquette,John Doe,Comedy Music,sugar town,Ally Sheedy Rosanna Arquette John Doe Allison Anders Comedy Music,unknown
Michael Kang,Samantha Futerman,Clint Jordan,Jackie Nova,Comedy Drama,the motel,Samantha Futerman Clint Jordan Jackie Nova Michael Kang Comedy Drama,unknown
Paul Schrader,Nolan Gerard Funk,Gus Van Sant,James Deen,Drama Thriller,the canyons,Nolan Gerard Funk Gus Van Sant James Deen Paul Schrader Drama Thriller,unknown
unknown,Shirley Henderson,James Norton,Sarah Lancashire,Crime Drama,happy valley            ,Shirley Henderson James Norton Sarah Lancashire unknown Crime Drama,unknown
Lori Silverbush,Judy Marte,Flaco Navaja,Dominic Colón,Drama,on the outs,Judy Marte Flaco Navaja Dominic Colón Lori Silverbush Drama,unknown
Jeff Nichols,Michael Abbott Jr.,Natalie Canerday,Travis Smith,Drama Thriller,shotgun stories,Michael Abbott Jr. Natalie Canerday Travis Smith Jeff Nichols Drama Thriller,unknown
Stuart Hazeldine,Colin Salmon,Luke Mably,Pollyanna McIntosh,Mystery Thriller,exam,Colin Salmon Luke Mably Pollyanna McIntosh Stuart Hazeldine Mystery Thriller,unknown
Hilary Brougher,James Urbaniak,Samantha Buck,Terumi Matthews,Sci-Fi,the sticky fingers of time,James Urbaniak Samantha Buck Terumi Matthews Hilary Brougher Sci-Fi,unknown
Rachel Goldenberg,Dustin Fitzsimons,Mark Hengst,Debra Lynn Hull,Drama Musical,sunday school musical,Dustin Fitzsimons Mark Hengst Debra Lynn Hull Rachel Goldenberg Drama Musical,unknown
Corbin Bernsen,Corbin Bernsen,Lorne Cardinal,Kirsten Collins,Drama,rust,Corbin Bernsen Lorne Cardinal Kirsten Collins Corbin Bernsen Drama,unknown
Jamin Winans,Eme Ikwuakor,Marty Lindsey,Jessica Duffy,Action Drama Fantasy Sci-Fi,ink,Eme Ikwuakor Marty Lindsey Jessica Duffy Jamin Winans Action Drama Fantasy Sci-Fi,unknown
Tom Seidman,Florence Henderson,Derek Brandon,Charles Irving Beale,Drama Family,the christmas bunny,Florence Henderson Derek Brandon Charles Irving Beale Tom Seidman Drama Family,unknown
Jason Naumann,Victoria Jackson,Kate Flannery,Tim Bagley,Comedy Short,jesus people,Victoria Jackson Kate Flannery Tim Bagley Jason Naumann Comedy Short,unknown
Matt Cimber,Stacy Keach,June Lockhart,Stuart Whitman,Crime Drama,butterfly,Stacy Keach June Lockhart Stuart Whitman Matt Cimber Crime Drama,unknown
Sam Martin,Sam Adams,Steve Duin,Jeff Jacob,Documentary,undivided,Sam Adams Steve Duin Jeff Jacob Sam Martin Documentary,unknown
Andrew Hyatt,Noah Segan,Brit Morgan,Sedona James,Horror Thriller,the frozen,Noah Segan Brit Morgan Sedona James Andrew Hyatt Horror Thriller,unknown
Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,Fantasy Romance,the love letter,Jennifer Jason Leigh Campbell Scott Estelle Parsons Dan Curtis Fantasy Romance,unknown
Joel Paul Reisig,Joshua Ray Bell,Dana Blackstone,Annelyse Ahmad,Family,horse camp,Joshua Ray Bell Dana Blackstone Annelyse Ahmad Joel Paul Reisig Family,unknown
Kristin Rizzo,Esai Morales,Robert Davi,Elaine Hendrix,Documentary,give me shelter,Esai Morales Robert Davi Elaine Hendrix Kristin Rizzo Documentary,unknown
King Vidor,John Gilbert,Renée Adorée,Claire Adams,Drama Romance War,the big parade,John Gilbert Renée Adorée Claire Adams King Vidor Drama Romance War,unknown
Ward Roberts,Sid Haig,Jacob Zachar,Travis Betz,Comedy,little big top,Sid Haig Jacob Zachar Travis Betz Ward Roberts Comedy,unknown
Zoran Lisinac,Matthew Emerick,Brock Baker,Sheldon Bailey,Comedy Music Romance,along the roadside,Matthew Emerick Brock Baker Sheldon Bailey Zoran Lisinac Comedy Music Romance,unknown
Nicolas Winding Refn,Tom Hardy,James Lance,Matt King,Action Biography Crime Drama,bronson,Tom Hardy James Lance Matt King Nicolas Winding Refn Action Biography Crime Drama,unknown
James O'Brien,Mark Fantasia,Vivian Lamolli,Greg Jackson,Adventure Drama Fantasy Thriller Western,western religion,Mark Fantasia Vivian Lamolli Greg Jackson James O'Brien Adventure Drama Fantasy Thriller Western,unknown
Tom Putnam,Brendan Doogie Milewski,Donald Austin,Craig Dougherty,Documentary,burn,Brendan Doogie Milewski Donald Austin Craig Dougherty Tom Putnam Documentary,unknown
Jon Shear,Dan Futterman,Josh Hamilton,Matt Keeslar,Drama,urbania,Dan Futterman Josh Hamilton Matt Keeslar Jon Shear Drama,unknown
Al Silliman Jr.,Christina Hart,Nancy Ison,William Condos,Comedy Drama,the stewardesses,Christina Hart Nancy Ison William Condos Al Silliman Jr. Comedy Drama,unknown
Eugène Lourié,Kenneth Tobey,Cecil Kellaway,Ross Elliott,Adventure Horror Sci-Fi,"the beast from 20,000 fathoms",Kenneth Tobey Cecil Kellaway Ross Elliott Eugène Lourié Adventure Horror Sci-Fi,unknown
Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,Adventure Drama Family Fantasy Sci-Fi,"20,000 leagues under the sea",James Mason Robert J. Wilke Paul Lukas Richard Fleischer Adventure Drama Family Fantasy Sci-Fi,unknown
George Miller,Hugh Keays-Byrne,Steve Bisley,Joanne Samuel,Action Adventure Sci-Fi Thriller,mad max,Hugh Keays-Byrne Steve Bisley Joanne Samuel George Miller Action Adventure Sci-Fi Thriller,unknown
Doug Liman,Jon Favreau,Alex Désert,Blake Lindsley,Comedy Drama,swingers,Jon Favreau Alex Désert Blake Lindsley Doug Liman Comedy Drama,unknown
Sergio Leone,Clint Eastwood,Gian Maria Volontè,Aldo Sambrell,Action Drama Western,a fistful of dollars,Clint Eastwood Gian Maria Volontè Aldo Sambrell Sergio Leone Action Drama Western,unknown
Lowell Sherman,Mae West,Gilbert Roland,Louise Beavers,Comedy Drama History Musical Romance,she done him wrong,Mae West Gilbert Roland Louise Beavers Lowell Sherman Comedy Drama History Musical Romance,unknown
Maurizio Benazzo,The Dalai Lama,Jasper Johal,Swami Krishnanad,Documentary,short cut to nirvana: kumbh mela,The Dalai Lama Jasper Johal Swami Krishnanad Maurizio Benazzo Documentary,unknown
David G. Evans,Michael Joiner,Chris Thomas,Michael Higgenbottom,Drama,the grace card,Michael Joiner Chris Thomas Michael Higgenbottom David G. Evans Drama,unknown
Ava DuVernay,Omari Hardwick,David Oyelowo,Lorraine Toussaint,Drama,middle of nowhere,Omari Hardwick David Oyelowo Lorraine Toussaint Ava DuVernay Drama,unknown
Tom Tykwer,Devid Striesow,Sebastian Schipper,Sophie Rois,Comedy Drama Romance,3,Devid Striesow Sebastian Schipper Sophie Rois Tom Tykwer Comedy Drama Romance,unknown
Sherman Alexie,William Joseph Elk III,Leo Rossi,Cynthia Geary,Drama Music,the business of fancydancing,William Joseph Elk III Leo Rossi Cynthia Geary Sherman Alexie Drama Music,unknown
Justin Dillon,Matisyahu,Natasha Bedingfield,Madeleine Albright,Documentary History Music,call + response,Matisyahu Natasha Bedingfield Madeleine Albright Justin Dillon Documentary History Music,unknown
Steven Soderbergh,Channing Tatum,David Costabile,Katie Lowes,Crime Drama Thriller,side effects,Channing Tatum David Costabile Katie Lowes Steven Soderbergh Crime Drama Thriller,unknown
Stevan Mena,R. Brandon Johnson,Stevan Mena,Richard Glover,Crime Horror Mystery Thriller,malevolence,R. Brandon Johnson Stevan Mena Richard Glover Stevan Mena Crime Horror Mystery Thriller,unknown
Adam Rifkin,Marri Savinar,Adam Rifkin,Bethany Blakey,Comedy Drama,shooting the warwicks,Marri Savinar Adam Rifkin Bethany Blakey Adam Rifkin Comedy Drama,unknown
Eric Valette,Melanie Papalia,Ryan Kennedy,John Reardon,Horror Sci-Fi Thriller,super hybrid,Melanie Papalia Ryan Kennedy John Reardon Eric Valette Horror Sci-Fi Thriller,unknown
Jay Duplass,Greta Gerwig,Jennifer Lafleur,Elise Muller,Comedy Drama Horror Romance,baghead,Greta Gerwig Jennifer Lafleur Elise Muller Jay Duplass Comedy Drama Horror Romance,unknown
Livingston Oden,Susan Chambers,Victoria Lachelle,Ali Daniels,Comedy Horror Mystery Thriller,solitude,Susan Chambers Victoria Lachelle Ali Daniels Livingston Oden Comedy Horror Mystery Thriller,unknown
Chris Marker,Marina Vlady,Bertrand Cantat,Léon Schwartzenberg,Documentary,the case of the grinning cat,Marina Vlady Bertrand Cantat Léon Schwartzenberg Chris Marker Documentary,unknown
Carl Theodor Dreyer,Hanne Aagesen,Sylvia Eckhausen,Ejner Federspiel,Drama Fantasy,ordet,Hanne Aagesen Sylvia Eckhausen Ejner Federspiel Carl Theodor Dreyer Drama Fantasy,unknown
Marianna Palka,Bryce Dallas Howard,Martin Starr,Jason Ritter,Comedy Drama Romance,good dick,Bryce Dallas Howard Martin Starr Jason Ritter Marianna Palka Comedy Drama Romance,unknown
Richard Schenkman,William Katt,John Billingsley,David Lee Smith,Drama Romance Sci-Fi,the man from earth,William Katt John Billingsley David Lee Smith Richard Schenkman Drama Romance Sci-Fi,unknown
Ricki Stern,Darryl Hunt,Evelyn Jefferson,John Reeves,Crime Documentary,the trials of darryl hunt,Darryl Hunt Evelyn Jefferson John Reeves Ricki Stern Crime Documentary,unknown
Nadia Tass,Mia Farrow,Jordan Bridges,Bruce Gooch,Drama Family,an american girl holiday,Mia Farrow Jordan Bridges Bruce Gooch Nadia Tass Drama Family,unknown
